path,folder,namefull,mouse,session,nTrial,mvtDir,actType,stimType,sessionNum,group,Area,MajorAxisLength,MinorAxisLength,Orientation,WeightedCentroid_1,WeightedCentroid_2,MeanIntensity,WeightedArea,ComponentId,FrameId,FrameTime,FramePeak
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,16,-0.25,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,17,-0.2,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,18,-0.15,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,19,-0.1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,20,-0.0499999999999999,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,21,0,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,0,0,0,0,0,0,0,0,1,22,0.05,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,170,22.6830983865264,10.732212840534,19.531665582537,171.312206302455,235.849846860282,0.307919950663479,52.3463916127914,1,23,0.1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,46,9.50682137242802,6.49906644996326,-58.0450731035325,152.287826300476,240.199212140749,0.122113356877917,5.6172144163842,2,23,0.1,0
F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg\m1683_230928_REG.mat,F:\users\Fei\DataAnalysis\WFW_M168X\TrialAll\MvtDir0\ActMap\Reg,m1683_230928_REG.mat,m1683,230928,All,0,Reg,limbMvt,1,Control,29,9.14527163619689,4.22899738801787,-55.0878673697109,140.433986255984,224.196949525181,0.0676433677424665,1.96165766453153,3,23,0.1,0
